ssm,sei,ssi
501,68.019363,70.438698
502,71.000381,75.533943
503,64.232323,56.630531
504,60.123959,55.210464
505,62.245312,55.752396
506,62.550076,58.265522
507,62.647072,56.262356
508,77.279312,80.629189
509,72.149689,77.831802
510,67.157265,69.939163
511,57.082535,53.954075
512,59.108059,65.842987
513,56.237713,56.052116
514,53.678997,47.959667
515,51.148518,61.147366
516,54.871391,56.12883
517,73.334869,76.033478
518,65.188873,69.422363
519,70.265984,70.356995
520,55.273151,59.04932
521,68.924858,64.744011
522,69.392433,65.543266
523,70.003181,64.744011
524,72.773453,78.23143
525,68.233749,64.144569
526,58.360638,57.55072
527,60.376896,62.246338
528,59.372406,67.441498
529,63.889233,65.343452
530,46.948097,57.950348
531,54.748211,56.551651
532,51.854137,55.452679
533,51.179153,70.03907
534,57.317039,64.144569
535,52.90126,55.053047
536,69.603539,70.338791
537,51.32106,53.754261
538,56.865265,55.552582
539,49.680264,61.568016
540,59.50705,67.241684
541,66.660019,62.246338
542,59.50705,67.241684
543,59.052315,65.643166
544,63.118668,64.843918
545,68.213669,62.146435
546,68.213669,62.146435
547,68.213669,62.146435
548,63.895054,61.746807
549,68.726166,68.740288
550,65.023216,52.955006
551,65.023216,52.955006
552,65.023216,52.955006
553,49.939426,50.956871
554,50.904045,55.097397
555,44.069534,56.351841
556,52.427219,47.460133
557,55.625492,52.755192
558,58.181488,58.549786
559,50.602039,57.750534
560,47.146435,54.12849
561,42.778156,47.56004
562,41.7938,46.26125
563,50.371334,44.662743
564,48.604259,52.410572
565,45.522072,53.154823
566,47.846863,50.457336
567,50.308666,52.055843
568,43.850899,40.566563
569,44.141724,46.56097
570,39.701839,45.861626
571,39.129059,43.064232
572,51.086407,51.056778
573,58.823669,51.832863
574,56.909786,49.866402
575,58.488113,57.233273
576,51.086407,51.056778
577,51.669647,51.216057
578,34.656158,49.117775
579,44.770691,43.244919
580,36.168434,42.664608
581,40.794075,41.865353
582,45.117409,43.264046
583,39.647537,41.465725
584,39.647537,41.465725
585,32.942917,28.477839
586,44.253918,42.764511
587,48.041107,51.656219
588,44.383366,57.450813
589,50.796886,39.367683
590,50.455494,53.754261
591,43.351387,49.757988
592,44.400711,53.07465
593,50.067417,43.164139
594,57.297009,52.048168
595,55.829151,51.456406
596,47.94001,38.594025
597,43.069492,39.567493
598,50.067417,43.164139
599,36.919952,43.576874
600,42.45097,44.562836
601,41.249546,42.964325
602,39.828674,39.343498
603,43.187527,44.76265
604,33.498528,36.377628
605,38.715839,36.969917
606,50.062473,45.561901
607,42.553642,37.269638
608,50.399525,45.162277
609,49.467751,41.365818
610,71.703705,59.648766
611,48.984814,45.461998
612,41.906624,37.968987
613,47.73666,37.069824
614,41.906624,37.968987
615,59.81226,54.853237
616,59.81226,54.853237
617,46.229057,53.954075
618,49.046169,46.56097
619,59.81226,54.853237
620,46.595837,42.764511
621,46.595837,42.764511
622,38.380466,36.57029
623,44.221687,42.283512
624,44.221687,42.283512
625,44.221687,42.283512
626,44.180958,41.661018
627,46.287163,41.745148
628,45.155613,40.834148
629,49.357342,46.635967
630,43.99638,40.31176
631,43.423416,42.069336
632,42.360901,38.741245
633,48.006466,44.097828
634,45.470512,42.450848
635,46.583355,45.89854
636,49.242897,46.1996
637,49.242897,46.1996
638,49.242897,46.1996
639,49.242897,46.1996
640,49.242897,46.1996
641,44.180748,40.134689
642,44.180748,40.134689
643,40.101276,39.44669
644,40.101276,39.44669
645,40.432648,39.620823
646,47.674255,43.426235
647,47.674255,43.426235
648,37.402454,39.597305
649,37.402454,39.597305
650,37.402454,39.597305
651,37.402454,39.597305
652,37.402454,39.597305
653,41.627525,42.029518
654,41.627525,42.029518
655,41.627525,42.029518
656,41.627525,42.029518
657,41.627525,42.029518
658,46.366787,46.576069
659,42.001694,40.085949
660,41.182487,45.005875
661,39.510483,43.863487
662,41.182487,45.005875
663,41.182487,45.005875
664,41.182487,45.005875
665,41.182487,45.005875
666,41.182487,45.005875
667,41.182487,45.005875
668,41.182487,45.005875
669,41.182487,45.005875
670,56.518169,53.254726
671,48.243275,48.359295
672,44.042957,46.228619
673,47.547531,40.766376
674,40.735462,38.051788
675,51.603352,46.161346
676,52.455482,49.957802
677,47.816216,47.849575
678,38.059326,38.767097
679,37.313896,39.077026
680,42.806198,45.905933
681,41.227272,46.56097
682,41.941811,41.066093
683,48.749031,41.96526
684,46.377113,48.359295
685,42.69772,41.977474
686,40.889126,41.983044
687,36.661976,38.775806
688,38.618011,43.46386
701,44.141724,46.56097
702,38.361828,39.16787
703,68.924858,64.744011
706,41.127762,42.364887
801,39.518105,47.060505
802,43.043236,58.050251
805,66.660019,62.246338
806,43.120239,45.26218
